,Residue,Function
0,47708668,repeated
0,124025970,hill
0,231960384,annealing
0,210,pre_repeated
0,252,pre_hill
0,72,pre_annealing
0,342746,KK
0,419756446,repeated
0,282409184,hill
0,348273486,annealing
0,296,pre_repeated
0,100,pre_hill
0,328,pre_annealing
0,66194,KK
0,73486969,repeated
0,43535267,hill
0,506650003,annealing
0,63,pre_repeated
0,139,pre_hill
0,645,pre_annealing
0,1013695,KK
0,72688386,repeated
0,583099164,hill
0,88389920,annealing
0,116,pre_repeated
0,6,pre_hill
0,250,pre_annealing
0,28232,KK
0,39451207,repeated
0,11185427,hill
0,329707253,annealing
0,25,pre_repeated
0,119,pre_hill
0,219,pre_annealing
0,61861,KK
